contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TSLA260601C00300000,2026-05-26 18:55:27+00:00,300.0,133.15,140.7,143.6,0.0,0.0,1.0,2,1.359378203125,True,REGULAR,USD,call
TSLA260601C00330000,2026-05-22 14:55:24+00:00,330.0,97.4,110.75,113.65,0.0,0.0,1.0,0,1.1308637207031251,True,REGULAR,USD,call
TSLA260601C00355000,2026-05-26 13:42:47+00:00,355.0,73.63,85.75,88.75,0.0,0.0,1.0,1,0.91992267578125,True,REGULAR,USD,call
TSLA260601C00365000,2026-05-28 16:54:34+00:00,365.0,77.29,75.8,78.65,10.540001,15.790264,4.0,2,0.797853583984375,True,REGULAR,USD,call
TSLA260601C00370000,2026-05-28 17:04:48+00:00,370.0,72.23,71.4,72.95,-1.4399948,-1.9546556,162.0,23,0.70117486328125,True,REGULAR,USD,call
TSLA260601C00375000,2026-05-28 15:03:31+00:00,375.0,67.74,65.8,68.65,2.9399948,4.537029,1.0,19,0.6972686523437501,True,REGULAR,USD,call
TSLA260601C00380000,2026-05-28 13:40:38+00:00,380.0,61.36,60.8,63.8,1.9400024,3.2648983,2.0,20,0.69336244140625,True,REGULAR,USD,call
TSLA260601C00385000,2026-05-27 14:11:46+00:00,385.0,53.7,55.85,58.2,0.0,0.0,41.0,62,0.8781750463867187,True,REGULAR,USD,call
TSLA260601C00390000,2026-05-28 17:55:59+00:00,390.0,52.4,51.5,53.05,1.6800003,3.3123033,13.0,149,0.577152666015625,True,REGULAR,USD,call
TSLA260601C00395000,2026-05-28 17:01:27+00:00,395.0,47.74,46.15,48.3,1.920002,4.1903143,1.0,31,0.5009815527343751,True,REGULAR,USD,call
TSLA260601C00400000,2026-05-28 18:59:03+00:00,400.0,43.1,41.6,43.0,1.579998,3.8053901,272.0,316,0.6506382592773439,True,REGULAR,USD,call
TSLA260601C00405000,2026-05-28 19:45:04+00:00,405.0,37.25,36.7,37.95,1.0499992,2.9005504,17529.0,500,0.579105771484375,True,REGULAR,USD,call
TSLA260601C00410000,2026-05-28 19:44:48+00:00,410.0,32.65,31.9,33.0,2.5500011,8.471765,4710.0,501,0.5229539892578124,True,REGULAR,USD,call
